Monthly_Income,Family_Size,Children,Previous_Expense,Month,Festival,Food_Preference,Guest_Arrival,Price_Hike,Shopping_Frequency,Grocery_Expense
62333,2,0,17170,february,no,Non-Veg,Yes,No,weekly,18342
142042,1,0,17974,february,no,Vegetarian,Yes,Yes,Biweekly,21666
131020,2,0,14850,September,no,Mixed,No,Yes,Monthly,17866
96535,8,2,17817,September,yes,Non-Veg,Yes,No,Monthly,23709
85548,3,0,12013,September,no,Mixed,Yes,No,Biweekly,14278
125892,2,1,13418,April,no,Mixed,No,No,Biweekly,14718
64464,5,1,6531,November,yes,Vegetarian,No,Yes,weekly,9630
118442,6,3,2740,August,no,Non-Veg,No,No,Biweekly,6640
117161,2,1,15093,April,no,Mixed,Yes,Yes,Monthly,20509
80462,8,1,17490,August,no,Non-Veg,Yes,No,Biweekly,22073
61939,7,2,12755,June,yes,Non-Veg,No,No,Monthly,16355
120319,1,0,16367,November,yes,Vegetarian,No,No,Biweekly,16867
120945,2,0,5460,March,yes,Mixed,No,No,Monthly,6460
121667,2,1,6475,November,yes,Non-Veg,No,No,Biweekly,7775
61986,8,1,11339,August,yes,Vegetarian,No,No,weekly,15139
148075,6,4,17588,December,no,Vegetarian,Yes,Yes,Monthly,25405
83298,8,4,8260,September,no,Vegetarian,Yes,Yes,Monthly,14752
48192,8,1,8612,October,yes,Mixed,Yes,Yes,Monthly,14659
94986,5,2,9131,March,no,Mixed,No,Yes,weekly,13341
108565,2,1,8700,January,no,Mixed,Yes,Yes,weekly,12331
133657,6,1,12140,June,no,Non-Veg,No,No,weekly,15440
140592,7,1,16547,August,yes,Mixed,No,No,Biweekly,20347
26922,6,3,10880,february,yes,Non-Veg,No,Yes,Monthly,14970
60108,6,4,8587,March,yes,Mixed,Yes,No,weekly,12924
45722,2,0,17856,June,yes,Vegetarian,No,Yes,Monthly,19542
104758,5,2,9467,September,no,Vegetarian,Yes,Yes,Biweekly,15689
73371,1,0,3370,November,no,Vegetarian,No,Yes,Monthly,3823
107701,5,4,8519,December,yes,Mixed,Yes,Yes,Biweekly,14788
87580,2,0,10962,June,no,Mixed,Yes,Yes,Biweekly,13742
116132,1,0,8179,November,yes,Mixed,No,No,Monthly,8679
71795,4,2,12184,July,no,Non-Veg,Yes,No,Biweekly,15693
82869,8,2,9689,August,yes,Non-Veg,Yes,No,weekly,15074
105301,1,0,11707,November,yes,Vegetarian,Yes,No,Monthly,13115
37264,6,2,13575,July,no,Non-Veg,Yes,No,Biweekly,17848
117350,3,0,8455,March,yes,Non-Veg,No,Yes,Biweekly,10568
27378,2,0,10666,January,no,Non-Veg,Yes,Yes,Biweekly,12310
22582,5,3,8858,february,no,Mixed,Yes,Yes,Biweekly,13352
62647,2,0,2542,September,no,Non-Veg,Yes,Yes,Biweekly,4972
123270,7,2,17045,June,no,Vegetarian,Yes,Yes,weekly,24543
83026,7,0,14571,April,no,Non-Veg,No,No,Monthly,17571
132338,3,2,7411,August,no,Vegetarian,No,Yes,Biweekly,10334
68187,1,0,16223,November,yes,Mixed,No,No,Monthly,16223
143159,1,0,5492,October,yes,Vegetarian,Yes,Yes,Biweekly,8207
25043,2,0,2757,June,no,Non-Veg,No,Yes,Monthly,3241
62101,7,4,8872,August,yes,Mixed,No,No,Biweekly,13072
111198,4,0,5047,October,yes,Non-Veg,Yes,No,Biweekly,8411
108751,2,1,14943,March,no,Non-Veg,Yes,No,weekly,17788
78428,1,0,4655,December,no,Non-Veg,Yes,Yes,weekly,6580
35711,3,1,3629,July,no,Non-Veg,Yes,No,weekly,6289
88834,5,0,9818,August,no,Non-Veg,Yes,Yes,Monthly,14136
46254,1,0,14486,November,yes,Non-Veg,No,No,Monthly,14486
135380,5,2,9552,September,no,Non-Veg,No,Yes,Monthly,13737
139383,8,4,15536,June,no,Mixed,Yes,Yes,Monthly,24606
138969,4,1,7362,february,yes,Vegetarian,Yes,Yes,Monthly,12002
121786,5,2,7984,June,no,Vegetarian,No,Yes,Biweekly,12030
83365,4,3,8300,December,yes,Vegetarian,No,Yes,weekly,12205
136432,6,0,5814,November,no,Mixed,No,Yes,weekly,9359
29193,5,3,5710,November,yes,Vegetarian,Yes,No,weekly,9026
19750,1,0,15253,November,yes,Vegetarian,Yes,Yes,Monthly,17418
39225,2,1,15225,January,yes,Non-Veg,Yes,No,Biweekly,17431
138803,4,2,13957,June,no,Non-Veg,Yes,No,weekly,18292
42387,3,1,11949,December,yes,Vegetarian,Yes,Yes,Biweekly,15627
115789,8,4,6842,January,no,Mixed,Yes,No,weekly,13098
82043,1,0,15350,february,no,Mixed,Yes,Yes,weekly,18364
108955,6,0,15162,July,yes,Mixed,Yes,No,Monthly,19757
82132,8,4,7351,March,yes,Vegetarian,No,No,weekly,12051
89425,8,0,6979,January,yes,Non-Veg,No,Yes,Biweekly,11557
70110,4,0,10071,April,yes,Vegetarian,Yes,Yes,weekly,13302
84995,8,3,12049,August,yes,Non-Veg,No,No,weekly,16449
75606,8,3,4628,March,yes,Non-Veg,No,No,Monthly,9028
44280,8,2,4932,June,no,Non-Veg,No,No,Monthly,9032
19262,1,0,2507,June,no,Non-Veg,No,No,weekly,2500
58756,5,3,8425,June,yes,Vegetarian,Yes,Yes,Monthly,15167
73821,5,2,12401,December,no,Vegetarian,Yes,Yes,weekly,18449
47944,6,3,16610,March,yes,Mixed,Yes,No,weekly,21983
98156,5,4,13064,January,yes,Mixed,Yes,Yes,weekly,19802
100618,8,1,16600,November,no,Mixed,No,Yes,weekly,22995
118505,8,3,13575,february,yes,Vegetarian,Yes,No,Biweekly,20370
142816,2,0,5246,April,no,Non-Veg,No,No,Monthly,6246
115883,2,1,11740,March,yes,Non-Veg,Yes,No,Biweekly,13756
65269,3,0,7207,October,yes,Mixed,No,Yes,Monthly,9230
130489,5,4,2791,December,no,Non-Veg,Yes,No,Monthly,8138
95656,7,4,13398,January,no,Non-Veg,Yes,No,Monthly,18516
51900,4,2,9742,March,yes,Non-Veg,No,Yes,weekly,13098
101903,5,4,2842,October,yes,Non-Veg,Yes,Yes,Monthly,8953
138772,1,0,12493,July,no,Mixed,Yes,No,Monthly,13878
41325,8,1,13610,October,yes,Vegetarian,No,No,weekly,17410
48888,2,1,16528,August,yes,Non-Veg,Yes,Yes,Monthly,20912
38323,1,0,15979,November,no,Mixed,Yes,Yes,Biweekly,18368
131805,7,2,7069,July,yes,Mixed,Yes,Yes,Biweekly,14389
114015,7,0,8887,March,yes,Mixed,Yes,No,weekly,13443
70454,2,1,3226,November,no,Vegetarian,Yes,Yes,weekly,5393
37442,8,0,7486,february,no,Non-Veg,No,No,Biweekly,10986
46719,6,2,8398,August,yes,Non-Veg,No,Yes,Monthly,12613
44171,2,0,13369,September,yes,Vegetarian,Yes,Yes,weekly,16548
132164,2,1,14297,August,yes,Mixed,No,No,Biweekly,15597
135065,4,1,15698,January,yes,Mixed,No,No,Biweekly,17998
32468,2,0,4188,August,no,Mixed,No,Yes,weekly,5391
27272,2,0,14763,february,no,Non-Veg,Yes,No,Monthly,15808
135328,7,2,7125,October,no,Vegetarian,Yes,Yes,Monthly,14377
22798,8,3,9214,July,no,Mixed,No,Yes,Biweekly,14023
84907,8,3,13018,November,yes,Non-Veg,Yes,No,weekly,18925
50837,4,1,14160,June,yes,Non-Veg,No,Yes,Monthly,17689
73243,4,2,6116,April,yes,Mixed,Yes,Yes,weekly,10692
132075,6,0,11947,June,yes,Vegetarian,Yes,No,Monthly,16425
29390,6,0,7650,february,no,Non-Veg,Yes,No,Biweekly,11040
42969,1,0,6060,November,yes,Mixed,No,Yes,Biweekly,6860
127564,6,3,10044,August,no,Vegetarian,Yes,Yes,Monthly,15575
53443,2,0,8970,October,no,Mixed,No,Yes,Biweekly,10619
33654,2,1,7351,June,no,Vegetarian,No,No,Biweekly,8151
72149,8,1,14460,November,yes,Non-Veg,Yes,No,weekly,20096
81239,8,2,8260,April,no,Non-Veg,Yes,No,weekly,13340
30371,4,3,17238,April,no,Mixed,Yes,Yes,weekly,23879
72380,4,3,12132,July,yes,Non-Veg,No,No,Monthly,14532
31025,8,3,8966,March,yes,Mixed,No,Yes,Biweekly,14238
99684,6,3,4128,July,no,Non-Veg,No,Yes,Biweekly,8478
71780,2,0,10067,December,no,Mixed,No,Yes,Monthly,11834
26747,3,1,17575,August,no,Mixed,No,Yes,Monthly,19777
146324,4,2,10769,April,no,Vegetarian,No,No,Monthly,13369
